Number,Time
1290,0.124
1291,2.354
1292,0.151
1293,0.157
1294,0.132
1295,0.127
1296,0.138
1297,2.573
1298,0.134
1299,0.135
1300,0.134
1301,2.565
1302,0.123
1303,2.425
1304,0.151
1305,0.174
1306,0.122
1307,2.367
1308,0.145
1309,0.157
1310,0.143
1311,0.135
1312,0.138
1313,0.232
1314,0.135
1315,0.132
1316,0.135
1317,0.177
1318,0.133
1319,2.519
1320,0.127
1321,2.607
1322,0.121
1323,0.14
1324,0.128
1325,0.146
1326,0.13
1327,2.48
1328,0.151
1329,0.188
1330,0.124
1331,0.14
1332,0.127
1333,0.154
1334,0.124
1335,0.139
1336,0.131
1337,0.18
1338,0.131
1339,0.235
1340,0.128
1341,0.146
1342,0.137
1343,0.139
1344,0.145
1345,0.225
1346,0.136
1347,0.144
1348,0.134
1349,0.153
1350,0.131
1351,0.13
1352,0.138
1353,0.188
1354,0.134
1355,0.127
1356,0.141
1357,0.162
1358,0.137
1359,0.142
1360,0.153
1361,3.49
1362,0.135
1363,0.141
1364,0.146
1365,0.154
1366,0.16
1367,3.319
1368,0.16
1369,0.198
1370,0.141
1371,0.138
1372,0.153
1373,3.245
1374,0.143
1375,0.14
1376,0.138
1377,0.206
1378,0.142
1379,0.139
1380,0.141
1381,2.75
1382,0.142
1383,0.13
1384,0.141
1385,0.203
1386,0.138
1387,0.134
1388,0.141
1389,0.168
1390,0.142
1391,0.134
1392,0.141
1393,0.188
1394,0.139
1395,0.137
1396,0.132
1397,0.155
1398,0.148
1399,2.472
1400,0.16
1401,0.174
1402,0.139
1403,0.133
1404,0.139
1405,0.15
1406,0.141
1407,0.137
1408,0.142
1409,3.168
1410,0.136
1411,0.133
1412,0.142
1413,0.148
1414,0.144
1415,0.133
1416,0.143
1417,0.178
1418,0.136
1419,0.134
1420,0.14
1421,0.154
1422,0.135
1423,2.484
1424,0.158
1425,0.207
1426,0.135
1427,2.51
1428,0.136
1429,2.407
1430,0.135
1431,0.134
1432,0.14
1433,2.764
1434,0.139
1435,0.131
1436,0.128
1437,0.19
1438,0.137
1439,2.599
1440,0.158
1441,0.216
1442,0.141
1443,0.138
1444,0.134
1445,0.157
1446,0.126
1447,2.376
1448,0.159
1449,0.173
1450,0.137
1451,2.55
1452,0.154
1453,2.634
1454,0.127
1455,0.135
1456,0.139
1457,0.198
1458,0.144
1459,2.394
1460,0.162
1461,0.157
1462,0.14
1463,0.134
1464,0.143
1465,0.171
1466,0.127
1467,0.136
1468,0.132
1469,0.16
1470,0.131
1471,2.591
1472,0.129
1473,0.232
1474,0.133
1475,0.118
1476,0.126
1477,0.146
1478,0.128
1479,0.145
1480,0.129
1481,2.896
1482,0.129
1483,2.501
1484,0.152
1485,0.16
1486,0.13
1487,2.518
1488,0.149
1489,2.921
1490,0.129
1491,0.139
1492,0.14
1493,2.537
1494,0.138
1495,0.142
1496,0.149
1497,0.209
1498,0.144
1499,2.836
1500,0.129
1501,0.203
1502,0.143
1503,0.14
1504,0.135
1505,0.234
1506,0.136
1507,0.119
1508,0.131
1509,0.175
1510,0.131
1511,3.257
1512,0.156
1513,0.203
1514,0.138
1515,0.145
1516,0.127
1517,0.18
1518,0.132
1519,0.141
1520,0.137
1521,0.196
1522,0.132
1523,1.793
1524,0.153
1525,0.179
1526,0.131
1527,0.146
1528,0.143
1529,0.184
1530,0.146
1531,1.908
1532,0.148
1533,0.159
1534,0.147
1535,0.148
1536,0.145
1537,0.287
1538,0.124
1539,0.136
1540,0.126
1541,0.154
1542,0.135
1543,1.761
1544,0.144
1545,0.177
1546,0.12
1547,0.143
1548,0.123
1549,1.574
1550,0.129
1551,0.162
1552,0.152
1553,1.995
1554,0.123
1555,0.132
1556,0.125
1557,0.164
1558,0.125
1559,1.559
1560,0.138
1561,0.173
1562,0.125
1563,0.135
1564,0.129
1565,0.16
1566,0.128
1567,1.679
1568,0.13
1569,0.213
1570,0.13
1571,2.885
1572,0.14
1573,0.19
1574,0.124
1575,0.137
1576,0.126
1577,0.181
1578,0.123
1579,2.646
1580,0.154
1581,0.177
1582,0.127
1583,2.614
1584,0.142
1585,0.187
1586,0.13
1587,0.137
1588,0.129
1589,0.165
1590,0.125
1591,0.13
1592,0.132
1593,0.179
1594,0.131
1595,0.136
1596,0.128
1597,2.932
1598,0.127
1599,0.147
1600,0.131
1601,3.366
1602,0.124
1603,0.135
1604,0.124
1605,0.151
1606,0.138
1607,2.58
1608,0.144
1609,2.397
1610,0.134
1611,0.132
1612,0.135
1613,6.486
1614,0.138
1615,0.141
1616,0.142
1617,0.215
1618,0.134
1619,2.687
1620,0.153
1621,2.069
1622,0.137
1623,0.136
1624,0.139
1625,0.193
1626,0.137
1627,2.491
1628,0.153
1629,0.195
1630,0.139
1631,0.142
1632,0.141
1633,0.243
1634,0.134
1635,0.133
1636,0.128
1637,2.626
1638,0.127
1639,0.145
1640,0.132
1641,0.203
1642,0.129
1643,0.14
1644,0.133
1645,0.196
1646,0.132
1647,0.143
1648,0.145
1649,0.179
1650,0.137
1651,0.144
1652,0.141
1653,0.174
1654,0.137
1655,0.138
1656,0.141
1657,2.578
1658,0.134
1659,0.133
1660,0.144
1661,0.148
1662,0.14
1663,2.751
1664,0.149
1665,0.245
1666,0.138
1667,5.112
1668,0.138
1669,2.577
1670,0.137
1671,0.132
1672,0.138
1673,0.164
1674,0.141
1675,0.129
1676,0.135
1677,0.169
1678,0.138
1679,0.13
1680,0.141
1681,0.188
1682,0.136
1683,0.129
1684,0.139
1685,0.148
1686,0.135
1687,0.133
1688,0.128
1689,0.164
1690,0.135
1691,0.132
1692,0.141
1693,2.075
1694,0.137
1695,0.133
1696,0.146
1697,2.031
1698,0.127
1699,1.635
1700,0.157
1701,0.167
1702,0.139
1703,0.132
1704,0.139
1705,0.179
1706,0.135
1707,0.134
1708,0.136
1709,1.754
1710,0.142
1711,0.134
1712,0.142
1713,0.204
1714,0.135
1715,0.129
1716,0.141
1717,0.17
1718,0.139
1719,0.141
1720,0.143
1721,1.979
1722,0.146
1723,1.828
1724,0.161
1725,0.18
1726,0.14
1727,0.145
1728,0.148
1729,0.243
1730,0.126
1731,0.14
1732,0.128
1733,1.83
1734,0.13
1735,0.148
1736,0.135
1737,0.188
1738,0.134
1739,0.141
1740,0.13
1741,1.602
1742,0.129
1743,0.136
1744,0.13
1745,0.209
1746,0.129
1747,1.844
1748,0.144
1749,0.176
1750,0.131
1751,0.146
1752,0.134
1753,3.119
1754,0.127
1755,0.139
1756,0.129
1757,0.163
1758,0.127
1759,2.593
1760,0.134
1761,0.252
1762,0.136
1763,0.14
1764,0.145
1765,0.189
1766,0.142
1767,0.143
1768,0.144
1769,0.178
1770,0.14
1771,0.141
1772,0.134
1773,0.161
1774,0.138
1775,0.135
1776,0.142
1777,2.306
1778,0.137
1779,0.134
1780,0.14
1781,0.16
1782,0.143
1783,1.898
1784,0.145
1785,0.185
1786,0.139
1787,1.772
1788,0.143
1789,2.022
1790,0.148
1791,0.146
1792,0.137
1793,0.28
1794,0.134
1795,0.133
1796,0.14
1797,0.161
1798,0.138
1799,0.137
1800,0.137
1801,2.091
1802,0.133
1803,0.128
1804,0.124
1805,0.156
1806,0.127
1807,0.139
1808,0.13
1809,0.193
1810,0.123
1811,1.882
1812,0.127
1813,0.172
1814,0.124
1815,0.149
1816,0.133
1817,0.177
1818,0.124
1819,0.139
1820,0.13
1821,0.177
1822,0.128
1823,1.671
1824,0.147
1825,0.23
1826,0.125
1827,0.139
1828,0.128
1829,0.154
1830,0.128
1831,1.768
1832,0.149
1833,0.178
1834,0.124
1835,0.141
1836,0.128
1837,0.179
1838,0.123
1839,0.139
1840,0.14
1841,0.206
1842,0.136
1843,0.139
1844,0.147
1845,0.163
1846,0.144
1847,2.458
1848,0.134
1849,0.207
1850,0.139
1851,0.142
1852,0.14
1853,0.154
1854,0.143
1855,0.142
1856,0.14
1857,0.243
1858,0.134
1859,0.135
1860,0.138
1861,2.554
1862,0.141
1863,0.143
1864,0.14
1865,0.204
1866,0.143
1867,2.691
1868,0.153
1869,0.171
1870,0.129
1871,2.652
1872,0.158
1873,2.876
1874,0.139
1875,0.131
1876,0.139
1877,2.577
1878,0.128
1879,2.714
1880,0.159
1881,0.172
1882,0.139
1883,0.143
1884,0.141
1885,0.146
1886,0.145
1887,0.141
1888,0.131
1889,3.06
1890,0.141
1891,0.254
1892,0.141
1893,0.184
1894,0.143
1895,0.149
1896,0.14
1897,0.18
1898,0.135
1899,0.138
1900,0.139
1901,2.65
1902,0.141
1903,0.141
1904,0.142
1905,0.212
1906,0.138
1907,2.593
1908,0.161
1909,0.16
1910,0.139
1911,0.148
1912,0.142
1913,2.827
1914,0.144
1915,0.141
1916,0.145
1917,0.167
1918,0.137
1919,0.139
1920,0.135
1921,0.262
1922,0.124
1923,0.13
1924,0.129
1925,0.159
1926,0.13
1927,0.135
1928,0.129
1929,0.178
1930,0.133
1931,2.635
1932,0.158
1933,2.72
1934,0.141
1935,0.14
1936,0.141
1937,0.196
1938,0.134
1939,0.139
1940,0.14
1941,0.172
1942,0.139
1943,0.149
1944,0.139
1945,0.182
1946,0.144
1947,0.141
1948,0.145
1949,2.702
1950,0.131
1951,2.821
1952,0.161
1953,0.212
1954,0.137
1955,0.143
1956,0.143
1957,0.155
1958,0.14
1959,0.146
1960,0.131
1961,0.176
1962,0.136
1963,0.143
1964,0.14
1965,0.182
1966,0.14
1967,0.145
1968,0.146
1969,0.208
1970,0.144
1971,0.139
1972,0.142
1973,2.685
1974,0.145
1975,0.148
1976,0.147
1977,0.186
1978,0.149
1979,2.634
1980,0.14
1981,0.182
1982,0.133
1983,0.138
1984,0.148
1985,0.232
1986,0.141
1987,2.53
1988,0.158
1989,0.169
1990,0.144
1991,0.141
1992,0.128
1993,2.76
1994,0.142
1995,0.134
1996,0.14
1997,2.755
1998,0.143
1999,2.747
2000,0.144
2001,0.209
2002,0.137
2003,2.529
2004,0.165
2005,0.144
2006,0.146
2007,0.142
2008,0.143
2009,0.177
2010,0.13
2011,3.591
2012,0.153
2013,0.182
2014,0.143
2015,0.147
2016,0.154
2017,3.576
2018,0.14
2019,0.139
2020,0.141
2021,0.159
2022,0.141
2023,0.145
2024,0.139
2025,0.21
2026,0.129
2027,3.158
2028,0.15
2029,3.044
2030,0.141
2031,0.15
2032,0.131
2033,0.216
2034,0.155
2035,0.141
2036,0.148
2037,0.172
2038,0.15
2039,2.983
2040,0.165
2041,0.219
2042,0.16
2043,0.143
2044,0.145
2045,0.184
2046,0.148
2047,0.14
2048,0.136
2049,0.345
2050,0.139
2051,0.136
2052,0.137
2053,2.819
2054,0.16
2055,0.155
2056,0.146
2057,0.202
2058,0.143
2059,0.14
2060,0.14
2061,0.173
2062,0.134
2063,2.848
2064,0.132
2065,0.254
2066,0.123
2067,0.135
2068,0.127
2069,2.698
2070,0.133
2071,0.134
2072,0.137
2073,0.218
2074,0.138
2075,0.132
2076,0.132
2077,0.16
2078,0.133
2079,0.14
2080,0.137
2081,3.034
2082,0.131
2083,2.811
2084,0.152
2085,0.189
2086,0.146
2087,2.367
2088,0.142
2089,2.215
2090,0.131
2091,0.141
2092,0.137
2093,0.162
2094,0.133
2095,0.151
2096,0.137
2097,0.203
2098,0.152
2099,2.293
2100,0.168
2101,0.184
2102,0.161
2103,0.161
2104,0.143
2105,0.194
2106,0.141
2107,0.143
2108,0.141
2109,0.151
2110,0.135
2111,2.09
2112,0.159
2113,2.571
2114,0.123
2115,0.142
2116,0.128
2117,0.165
2118,0.139
2119,0.139
2120,0.141
2121,0.184
2122,0.142
2123,0.146
